"STRATUM","hhweight","region","hhsize","ch14","adult","elderly","sex_hhh","cons","HHID","year","educlevel_hhh","povline","food_povline","CLUSTER","_merge","below_pov"
1,1275.86134249232,1,2,0,2,2,1,95993.6925089323,10413102013064,2018,3,49320,33748,104131,3,0
1,1275.86134249232,1,5,4,1,0,2,52206.5609459049,10413102013069,2018,3,49320,33748,104131,3,0
1,1275.86134249232,1,6,3,3,0,2,45530.5511925963,10413102013079,2018,3,49320,33748,104131,3,1
1,1173.20583217684,1,6,2,4,0,1,77608.5327097812,10420102004004,2018,3,49320,33748,104201,3,0
1,1173.20583217684,1,5,3,2,0,1,88760.0505856503,10420102004015,2018,3,49320,33748,104201,3,0
1,1173.20583217684,1,7,4,3,1,1,59638.5931358609,10420102004020,2018,1,49320,33748,104201,3,0
1,1173.20583217684,1,4,2,2,0,1,62226.7358851168,10420102004025,2018,3,49320,33748,104201,3,0
1,1173.20583217684,1,4,2,2,1,1,41607.2641223913,10420102004031,2018,1,49320,33748,104201,3,1
1,1173.20583217684,1,3,0,3,0,1,78487.709570383,10420102004036,2018,3,49320,33748,104201,3,0
1,1173.20583217684,1,3,1,2,0,1,114855.097732852,10420102004042,2018,3,49320,33748,104201,3,0
1,1173.20583217684,1,6,5,1,0,2,48222.2864527445,10420102004047,2018,3,49320,33748,104201,3,1
1,1173.20583217684,1,1,0,1,1,2,80535.0955207537,10420102004058,2018,1,49320,33748,104201,3,0
1,1173.20583217684,1,3,2,1,0,2,61581.7278211165,10420102004063,2018,1,49320,33748,104201,3,0
1,1173.20583217684,1,4,2,2,0,1,33711.4255984186,10420102004068,2018,3,49320,33748,104201,3,1
1,1173.20583217684,1,7,2,5,0,1,50569.1815053022,10420102004079,2018,1,49320,33748,104201,3,0
1,1114.545540568,1,2,0,2,0,1,92307.6735139055,10429101004002,2018,3,49320,33748,104291,3,0
1,1114.545540568,1,5,1,4,0,1,58367.9749337237,10429101004007,2018,1,49320,33748,104291,3,0
1,1114.545540568,1,5,2,3,0,1,27684.9576715675,10429101004012,2018,1,49320,33748,104291,3,1
1,1114.545540568,1,4,2,2,0,1,83531.3777105465,10429101004017,2018,4,49320,33748,104291,3,0
1,1114.545540568,1,3,1,2,0,1,43103.7938080701,10429101004023,2018,3,49320,33748,104291,3,1
1,1114.545540568,1,9,4,5,0,2,36627.0070927336,10429101004028,2018,1,49320,33748,104291,3,1
1,1114.545540568,1,7,3,4,0,1,81430.7980807137,10429101004038,2018,3,49320,33748,104291,3,0
1,1114.545540568,1,5,2,3,1,1,57074.9717217669,10429101004043,2018,2,49320,33748,104291,3,0
1,1114.545540568,1,1,0,1,1,2,66246.4490567687,10429101004053,2018,1,49320,33748,104291,3,0
1,1114.545540568,1,2,0,2,0,2,54423.2981170189,10429101004058,2018,3,49320,33748,104291,3,0
1,1114.545540568,1,5,3,2,0,1,37166.7613126804,10429101004063,2018,3,49320,33748,104291,3,1
1,1114.545540568,1,4,2,2,1,2,65627.2645425093,10429101004073,2018,1,49320,33748,104291,3,0
2,2214.40211721782,1,6,0,6,0,1,168768.613494713,10503204006008,2018,3,49320,33748,105032,3,0
2,2214.40211721782,1,5,2,3,0,2,44479.1510132792,10503204006017,2018,3,49320,33748,105032,3,1
2,2214.40211721782,1,7,2,5,0,1,80994.5436554699,10503204006026,2018,1,49320,33748,105032,3,0
2,2214.40211721782,1,6,4,2,0,2,69087.6994659738,10503204006036,2018,2,49320,33748,105032,3,0
2,2214.40211721782,1,4,1,3,0,2,75462.5323419265,10503204006055,2018,3,49320,33748,105032,3,0
2,2214.40211721782,1,6,0,6,0,1,131376.334018434,10503204006064,2018,3,49320,33748,105032,3,0
2,2214.40211721782,1,6,2,4,2,1,70653.683555724,10503204006074,2018,2,49320,33748,105032,3,0
2,2214.40211721782,1,7,0,7,0,1,95424.1438188927,10503204006087,2018,3,49320,33748,105032,3,0
